Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
1	3D	1	0.787952741	0.596748923	0.432983671	0.300201076	0.198489494	0.124966038	0.074835824	0.042597379	0.023037531	0.011835853	0.005776844	0.002679132	0.001180996	4.95E-04	1.97E-04	7.50E-05	2.74E-05	1.03E-05	6.13E-06
2	3D	1	0.798476453	0.631324151	0.493323145	0.380226897	0.288496053	0.215086536	0.15729491	0.112661571	0.078926233	0.054023372	0.036100913	0.02354531	0.014999924	0.009369647	0.005810871	0.003545656	0.002188741	0.001476151	0.001255224
3	3D	1	0.808113155	0.6499857	0.519861825	0.413093835	0.32589127	0.255030537	0.198015352	0.152593443	0.11690747	0.088953492	0.066375728	0.049140043	0.036098667	0.026356114	0.019038133	0.013811045	0.010338883	0.00836281	0.00772222
4	3D	1	0.813026034	0.659265452	0.533071131	0.42971363	0.345320008	0.276753871	0.221476789	0.17759905	0.141036408	0.11229637	0.089547019	0.070804713	0.055671242	0.043778051	0.034518574	0.027609195	0.022836434	0.020039898	0.019119131
5	3D	1	0.815632487	0.664836654	0.541534336	0.440171711	0.357476	0.290131856	0.235855414	0.192037255	0.156788913	0.128398859	0.106104213	0.087282857	0.07190312	0.059399202	0.049460154	0.041905601	0.036605201	0.033464097	0.032423687
6	3D	1	0.818984983	0.669076404	0.546403057	0.446423736	0.3663292	0.298266055	0.244413282	0.202223348	0.167068067	0.13970449	0.118104799	0.100001335	0.084866503	0.072557269	0.062668729	0.055078778	0.049712344	0.046515085	0.045453171
7	3D	1	0.818398357	0.670216377	0.549033601	0.449571507	0.36852763	0.302864699	0.249880842	0.207540522	0.174274242	0.148707696	0.127793733	0.110166233	0.095537099	0.083557192	0.07394491	0.066562388	0.061333759	0.058213481	0.057176144
8	3D	1	0.819227296	0.672128212	0.551292608	0.452040628	0.371587042	0.306520634	0.254278968	0.212611221	0.179955484	0.154049545	0.13445868	0.117799718	0.103910931	0.09248136	0.083294869	0.07623236	0.071226395	0.068237194	0.067243106
9	3D	1	0.820467483	0.672326114	0.551650537	0.45353665	0.373690283	0.309080581	0.25717667	0.215901504	0.183623169	0.159014024	0.139429306	0.123286698	0.110117983	0.099355115	0.090707277	0.084052256	0.079330192	0.076508308	0.075569475
10	3D	1	0.819603761	0.672732577	0.553292525	0.455904822	0.376028053	0.311498219	0.259767941	0.218546717	0.186266241	0.161152654	0.142536749	0.127203776	0.114936191	0.104813898	0.09664336	0.090345423	0.085874455	0.083202289	0.082313252
