Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
1	3D	1	0.795445391	0.627630008	0.480353472	0.356171608	0.255645515	0.177532511	0.119255481	0.077488793	0.048712474	0.029636587	0.017458244	0.009963119	0.005511677	0.002957848	0.001541306	7.82E-04	3.89E-04	1.97E-04	1.19E-04
2	3D	1	0.843733344	0.714095448	0.59610254	0.490423485	0.397396296	0.316984445	0.248778521	0.19203703	0.145755783	0.108753308	0.079759916	0.057500088	0.040760991	0.028443464	0.019595069	0.013427333	0.009320933	0.006823244	0.005642565
3	3D	1	0.86312741	0.749783815	0.645955102	0.551633947	0.466745438	0.391119688	0.324476827	0.266424248	0.216464914	0.174014732	0.138426523	0.109017929	0.085100749	0.066009548	0.051127893	0.039911131	0.031905124	0.026760772	0.02424443
4	3D	1	0.87360647	0.769271225	0.673632322	0.586391232	0.507258466	0.435936781	0.372109282	0.315432611	0.26553512	0.222019604	0.184469942	0.152460822	0.125569632	0.103389564	0.085543039	0.071694611	0.061562651	0.054929214	0.051647655
5	3D	1	0.880130757	0.781478752	0.691139483	0.6086711	0.533670889	0.46576378	0.404593322	0.349815237	0.301093564	0.258099276	0.220511113	0.188018314	0.160324828	0.137154559	0.118257181	0.103414057	0.092443829	0.085207305	0.081611318
6	3D	1	0.884587013	0.789853476	0.70323374	0.624209556	0.552315518	0.487130234	0.428268962	0.375377753	0.328129127	0.2862192	0.249366164	0.217309933	0.189812768	0.166660647	0.147665124	0.132665451	0.121530721	0.114161818	0.110493004
7	3D	1	0.887846911	0.795999954	0.712156081	0.635753545	0.566290125	0.503315648	0.446425516	0.395255238	0.349475993	0.308791137	0.272933629	0.241664243	0.214770477	0.192066015	0.173390629	0.158610371	0.147617946	0.14033314	0.136703219
8	3D	1	0.89035506	0.800740092	0.71906225	0.644733264	0.577227764	0.516076504	0.460860363	0.411205115	0.366776968	0.327278819	0.292447189	0.262049762	0.235883469	0.213773032	0.195569901	0.181151504	0.170420734	0.163305626	0.159759162
9	3D	1	0.892353768	0.804523385	0.724587902	0.651941662	0.586043664	0.526411157	0.472613905	0.424269099	0.381036915	0.342616663	0.308743506	0.279185689	0.253742233	0.23224104	0.214537368	0.200512618	0.190073405	0.183150858	0.179700138
10	3D	1	0.893983708	0.807611758	0.729105677	0.657847594	0.593285237	0.534925738	0.482330043	0.435107923	0.392913556	0.355441648	0.322424061	0.293626905	0.268848054	0.247915053	0.230683366	0.21703496	0.206877159	0.200141782	0.196784514
11	3D	1	0.895332399	0.810168818	0.732849852	0.662748533	0.59930402	0.542015532	0.490436848	0.444171384	0.402867806	0.366216149	0.333944419	0.305815631	0.281625249	0.261199005	0.24439105	0.231082438	0.221179892	0.214614856	0.211342803
12	3D	1	0.896458352	0.812304382	0.735978684	0.666847201	0.604342324	0.547956896	0.497238781	0.45178598	0.411242277	0.375293375	0.343663493	0.316112389	0.292432778	0.272448109	0.256010687	0.243000108	0.233321989	0.226906983	0.223710062
13	3D	1	0.8974034	0.814097231	0.738606318	0.670290909	0.608577907	0.552954919	0.502964876	0.458201182	0.418303384	0.382953331	0.351871778	0.324815414	0.301574273	0.281969508	0.265851495	0.253098259	0.243614185	0.237329023	0.234197162
14	3D	1	0.898199137	0.815607023	0.740819554	0.673192313	0.612147673	0.557168895	0.50779477	0.463614804	0.424264909	0.389423578	0.35880851	0.332173639	0.309306561	0.290026301	0.274181425	0.261648459	0.252330601	0.246156723	0.243080639
15	3D	1	0.898870413	0.816880769	0.742686993	0.675640792	0.615160771	0.56072655	0.511873437	0.468187636	0.429301956	0.394892009	0.364672841	0.338395983	0.315846879	0.296842665	0.281230287	0.26888492	0.259708687	0.253629658	0.250601121
16	3D	1	0.899437321	0.817956526	0.744264273	0.677709028	0.617706235	0.563732454	0.515320056	0.47205245	0.433559808	0.39951528	0.369631639	0.343658343	0.321378974	0.302609028	0.287194033	0.275007981	0.26595205	0.259953604	0.256965469
17	3D	1	0.899916398	0.818865641	0.745597278	0.679457051	0.619857744	0.56627334	0.518233729	0.475319954	0.437159951	0.403424775	0.373825263	0.348109099	0.32605827	0.30748686	0.292239179	0.280188198	0.271234277	0.265304168	0.262350296
18	3D	1	0.900321406	0.819634212	0.746724235	0.680934923	0.621676817	0.568421723	0.520697437	0.478082999	0.440204451	0.406731071	0.377372048	0.351873559	0.33001623	0.31161294	0.296506959	0.284570382	0.275702869	0.26983065	0.266905804
19	3D	1	0.900663873	0.820284107	0.74767719	0.682184635	0.62321509	0.570238521	0.522780953	0.480419733	0.442779298	0.409527422	0.380371895	0.355057614	0.33336405	0.315103059	0.30011702	0.288277289	0.279482926	0.273659716	0.270759444
20	3D	1	0.900953494	0.820833719	0.748483105	0.68324153	0.624516041	0.571775051	0.524543087	0.482396063	0.444957058	0.411892571	0.38290921	0.357750785	0.336195788	0.318055204	0.303170663	0.291412886	0.282680427	0.276898692	0.274019217
21	3D	1	0.901198442	0.821298557	0.749164717	0.684135417	0.625616352	0.57307462	0.526033482	0.48406764	0.446799025	0.413893057	0.38505534	0.360028768	0.338590999	0.320552285	0.305753616	0.294065178	0.285385096	0.279638453	0.276776574
22	3D	1	0.901405617	0.821691714	0.749741222	0.684891466	0.626546997	0.574173805	0.527294077	0.48548149	0.448357005	0.415585126	0.386870612	0.361955577	0.340616977	0.32266444	0.307938416	0.296308638	0.287672866	0.28195591	0.279108917
23	3D	1	0.901580848	0.822024253	0.750228839	0.685530946	0.627334157	0.575103521	0.528360321	0.486677366	0.449674794	0.417016339	0.388406039	0.363585353	0.342330641	0.324451001	0.309786429	0.298206273	0.289607984	0.283916142	0.281081742
24	3D	1	0.901729064	0.822305523	0.75064128	0.686071837	0.627999961	0.575889905	0.529262186	0.487688881	0.45078943	0.418226915	0.389704768	0.364963888	0.343780134	0.325962159	0.311349568	0.299811385	0.291244803	0.285574205	0.282750457
25	3D	1	0.90185443	0.822543431	0.750990136	0.686529342	0.628563122	0.576555058	0.530025019	0.48854446	0.451732235	0.419250871	0.390803288	0.366129914	0.345006181	0.327240365	0.312671743	0.301169066	0.292629303	0.286976674	0.284161937
26	3D	1	0.901960469	0.822744663	0.751285213	0.686916318	0.629039466	0.577117672	0.530670254	0.489268145	0.452529699	0.420116978	0.391732465	0.367116191	0.346043227	0.32832153	0.3137901	0.302317455	0.293800378	0.288162949	0.285355834
27	3D	1	0.902050162	0.822914873	0.751534801	0.687243638	0.629442378	0.577593555	0.531216022	0.489880269	0.453204229	0.420849569	0.392518404	0.367950428	0.346920408	0.329236028	0.314736058	0.303288816	0.294790928	0.289166355	0.286365686
28	3D	1	0.902126027	0.823058844	0.751745914	0.6875205	0.629783179	0.577996077	0.531677656	0.49039803	0.453774777	0.421469227	0.393183186	0.368656063	0.347662366	0.330009552	0.315536191	0.304110436	0.29562878	0.290015082	0.287219866
29	3D	1	0.902190198	0.823180621	0.751924482	0.687754682	0.630071443	0.578336548	0.532068127	0.490835976	0.454257371	0.421993361	0.393745489	0.369252921	0.348289948	0.330663834	0.316212981	0.304805401	0.296337473	0.290732974	0.28794237
30	3D	1	0.902244476	0.823283626	0.752075523	0.687952764	0.63031527	0.578624533	0.532398404	0.491206409	0.454665571	0.422436698	0.39422111	0.36975777	0.348820785	0.331217255	0.31678544	0.305393233	0.296936917	0.291340199	0.288553497
31	3D	1	0.902290387	0.823370752	0.75220328	0.68812031	0.63052151	0.578868125	0.532677768	0.491519739	0.455010845	0.422811692	0.394623411	0.370184794	0.349269791	0.331685364	0.317269652	0.305890448	0.297443955	0.291853817	0.289070415
32	3D	1	0.902329221	0.823444447	0.752311343	0.688262028	0.630695956	0.579074165	0.532914066	0.491784767	0.455302893	0.423128878	0.394963696	0.370545991	0.349649581	0.332081311	0.31767922	0.306311015	0.29787283	0.292288259	0.289507648
33	3D	1	0.902362068	0.823506781	0.752402747	0.688381899	0.630843511	0.579248443	0.533113938	0.49200894	0.455549921	0.423397169	0.395251524	0.370851507	0.349970824	0.332416221	0.318025651	0.306666749	0.298235592	0.29265573	0.28987748
34	3D	1	0.902389852	0.823559507	0.752480061	0.688483292	0.63096832	0.579395855	0.533282998	0.492198556	0.455758868	0.423624102	0.395494982	0.371109926	0.350242546	0.332699503	0.318318678	0.306967645	0.298542433	0.292966553	0.2901903
35	3D	1	0.902413352	0.823604104	0.752545457	0.688569055	0.631073888	0.579520543	0.533425997	0.492358941	0.455935605	0.423816051	0.39570091	0.371328509	0.350472381	0.332939116	0.318566534	0.307222157	0.298801972	0.293229461	0.290454897
36	3D	1	0.90243323	0.823641827	0.752600771	0.688641596	0.631163183	0.57962601	0.533546952	0.492494602	0.456085096	0.423978411	0.395875093	0.371513396	0.350666785	0.333141791	0.318776181	0.307437434	0.299021502	0.293451841	0.290678706
37	3D	1	0.902450044	0.823673734	0.752647559	0.688702956	0.631238712	0.579715219	0.533649261	0.492609351	0.456211544	0.424115742	0.396022425	0.371669782	0.350831221	0.333313223	0.31895351	0.307619526	0.299207191	0.293639939	0.290868013
38	3D	1	0.902464266	0.823700723	0.752687134	0.688754856	0.631302599	0.579790675	0.533735799	0.49270641	0.456318498	0.424231903	0.396147045	0.37180206	0.350970309	0.333458228	0.319103503	0.307773547	0.299364255	0.293799042	0.291028138
39	3D	1	0.902476295	0.823723551	0.752720608	0.688798756	0.631356637	0.5798545	0.533808997	0.492788507	0.456408965	0.424330157	0.396252454	0.371913947	0.351087955	0.333580879	0.319230374	0.307903825	0.299497106	0.293933618	0.291163578
40	3D	1	0.90248647	0.82374286	0.752748922	0.688835888	0.631402344	0.579908486	0.53387091	0.492857948	0.456485486	0.424413265	0.396341614	0.372008586	0.351187466	0.333684624	0.319337687	0.30801402	0.299609478	0.294047448	0.29127814
41	3D	1	0.902495077	0.823759193	0.752772871	0.688867296	0.631441006	0.579954149	0.53392328	0.492916685	0.456550211	0.424483561	0.396417029	0.372088636	0.351271637	0.333772375	0.319428458	0.308107228	0.299704527	0.294143731	0.291375042
42	3D	1	0.902502356	0.823773008	0.752793129	0.688893862	0.631473708	0.579992773	0.533967576	0.492966367	0.456604959	0.424543021	0.396480819	0.372156346	0.351342832	0.333846599	0.319505235	0.308186067	0.299784924	0.294225171	0.291457005
43	3D	1	0.902508514	0.823784693	0.752810263	0.688916334	0.631501368	0.580025443	0.534005044	0.493008391	0.456651266	0.424593315	0.396534775	0.372213618	0.351403052	0.333909382	0.319570177	0.308252753	0.299852928	0.294294057	0.291526334
44	3D	1	0.902513722	0.823794577	0.752824757	0.688935341	0.631524765	0.580053077	0.534036736	0.493043936	0.456690435	0.424635856	0.396580414	0.372262061	0.351453989	0.333962486	0.319625108	0.308309159	0.299910448	0.294352324	0.291584975
45	3D	1	0.902518128	0.823802937	0.752837016	0.688951418	0.631544555	0.580076451	0.534063543	0.493074002	0.456723566	0.424671838	0.396619017	0.372303036	0.351497074	0.334007403	0.319671571	0.30835687	0.299959101	0.294401609	0.291634576
46	3D	1	0.902521854	0.823810008	0.752847385	0.688965016	0.631561294	0.580096222	0.534086217	0.493099433	0.45675159	0.424702274	0.396651669	0.372337695	0.351533517	0.334045397	0.319710872	0.308397226	0.300000254	0.294443296	0.291676532
47	3D	1	0.902525006	0.82381599	0.752856156	0.688976519	0.631575453	0.580112945	0.534105396	0.493120944	0.456775294	0.424728018	0.396679288	0.372367011	0.351564342	0.334077533	0.319744114	0.30843136	0.300035063	0.294478557	0.291712019
48	3D	1	0.902527672	0.823821049	0.752863574	0.688986248	0.631587429	0.58012709	0.534121618	0.493139138	0.456795344	0.424749794	0.39670265	0.372391808	0.351590415	0.334104716	0.319772231	0.308460233	0.300064506	0.294508383	0.291742036
49	3D	1	0.902529927	0.823825328	0.75286985	0.688994477	0.631597559	0.580139055	0.53413534	0.493154528	0.456812303	0.424768213	0.396722409	0.372412783	0.351612469	0.334127708	0.319796015	0.308484655	0.300089411	0.29453361	0.291767426
50	3D	1	0.902531834	0.823828948	0.752875157	0.689001438	0.631606127	0.580149175	0.534146946	0.493167546	0.456826647	0.424783792	0.396739123	0.372430524	0.351631124	0.334147156	0.319816131	0.308505312	0.300110476	0.294554949	0.291788901
51	3D	1	0.902533448	0.82383201	0.752879647	0.689007326	0.631613375	0.580157735	0.534156763	0.493178556	0.456838781	0.42479697	0.396753261	0.37244553	0.351646902	0.334163606	0.319833147	0.308522785	0.300128294	0.294572998	0.291807067
52	3D	1	0.902534812	0.8238346	0.752883444	0.689012306	0.631619505	0.580164976	0.534165067	0.49318787	0.456849043	0.424808116	0.396765219	0.372458223	0.351660248	0.33417752	0.31984754	0.308537564	0.300143365	0.294588265	0.291822431
53	3D	1	0.902535967	0.82383679	0.752886656	0.689016518	0.63162469	0.5801711	0.534172091	0.493195748	0.456857724	0.424817544	0.396775333	0.372468959	0.351671537	0.334189289	0.319859714	0.308550065	0.300156113	0.294601178	0.291835428
54	3D	1	0.902536943	0.823838643	0.752889373	0.689020082	0.631629076	0.58017628	0.534178032	0.493202411	0.456865067	0.424825519	0.396783889	0.37247804	0.351681086	0.334199244	0.319870011	0.308560639	0.300166896	0.294612101	0.291846421
55	3D	1	0.902537769	0.82384021	0.752891671	0.689023095	0.631632786	0.580180662	0.534183057	0.493208047	0.456871278	0.424832264	0.396791125	0.372485721	0.351689163	0.334207664	0.319878721	0.308569583	0.300176016	0.29462134	0.291855719
56	3D	1	0.902538467	0.823841536	0.752893615	0.689025645	0.631635924	0.580184368	0.534187308	0.493212814	0.456876531	0.42483797	0.396797246	0.372492218	0.351695994	0.334214787	0.319886088	0.308577148	0.300183731	0.294629154	0.291863584
57	3D	1	0.902539058	0.823842657	0.752895259	0.689027801	0.631638578	0.580187503	0.534190903	0.493216847	0.456880975	0.424842796	0.396802424	0.372497714	0.351701773	0.334220811	0.31989232	0.308583547	0.300190256	0.294635764	0.291870236
