Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
1	3D	1	0.795445391	0.627630008	0.480353472	0.356171608	0.255645515	0.177532511	0.119255481	0.077488793	0.048712474	0.029636587	0.017458244	0.009963119	0.005511677	0.002957848	0.001541306	7.82E-04	3.89E-04	1.97E-04	1.19E-04
2	3D	1	0.805096569	0.657855342	0.533054158	0.427815633	0.339690667	0.266547525	0.206485802	0.157775962	0.118823209	0.088152189	0.06440715	0.046361368	0.032930048	0.02318227	0.016349491	0.011434391	0.008096809	0.00603642	0.005053665
3	3D	1	0.814646622	0.675620784	0.558298904	0.458371412	0.374538958	0.304460248	0.246179466	0.198042747	0.158594827	0.126421776	0.100345188	0.079642235	0.06266085	0.049189515	0.038609619	0.030588602	0.024832718	0.021104064	0.019270755
4	3D	1	0.818866409	0.683438447	0.569292476	0.473061211	0.392150558	0.324346066	0.267777364	0.220877515	0.182318558	0.150856556	0.125028088	0.104118931	0.086364201	0.071907519	0.060299662	0.051240231	0.044567428	0.040174955	0.037994814
5	3D	1	0.82149949	0.688416961	0.576491034	0.482113264	0.40285618	0.336499264	0.281111393	0.235207489	0.197475101	0.166300686	0.141161208	0.121102247	0.104298093	0.090360982	0.078968754	0.069967433	0.063273699	0.058836665	0.056625323
6	3D	1	0.823380568	0.691897276	0.581677266	0.490770552	0.410183927	0.344459298	0.289916565	0.244814794	0.207695649	0.177482135	0.153175389	0.133616209	0.118198256	0.10501643	0.094253566	0.085732795	0.079378124	0.075155061	0.073046919
7	3D	1	0.824404404	0.694244393	0.587135213	0.491952979	0.414199853	0.349506348	0.295784197	0.251395144	0.214898995	0.185348933	0.16179973	0.143394779	0.128260811	0.116241115	0.106337753	0.098458773	0.092566722	0.088644574	0.086684824
8	3D	1	0.824947843	0.695039745	0.586393126	0.494342326	0.41744343	0.353410856	0.299966901	0.255927158	0.219949158	0.190906862	0.167831146	0.149755775	0.135437838	0.124628865	0.115557508	0.108351846	0.102953402	0.099353179	0.097552259
9	3D	1	0.825843957	0.695815913	0.586882058	0.495797432	0.419703998	0.356155771	0.303327807	0.259855545	0.224466299	0.195977339	0.173352833	0.156611334	0.142972833	0.131900644	0.123208522	0.116339923	0.11122181	0.107822216	0.106125537
10	3D	1	0.825843639	0.69621939	0.587613766	0.496868591	0.421273084	0.358455464	0.306229143	0.26278554	0.227559096	0.199293169	0.177042737	0.160406532	0.147137637	0.136726952	0.128603821	0.122201036	0.117430714	0.114260302	0.112677219
11	3D	1	0.825748243	0.696425814	0.588277898	0.498070874	0.423001822	0.359686141	0.307336971	0.264482541	0.229221266	0.201059776	0.178932045	0.162094019	0.149896908	0.140153103	0.13244443	0.12642535	0.121963126	0.11900474	0.117529096
12	3D	1	0.826444011	0.697714476	0.590178193	0.49930459	0.423628393	0.360675293	0.308508434	0.265731944	0.23097749	0.202859371	0.180615382	0.163654092	0.15096739	0.142416203	0.135198394	0.12950671	0.125271004	0.122459119	0.121056069
13	3D	1	0.826115363	0.697170235	0.589418568	0.499678268	0.426366757	0.361744959	0.309405235	0.26654564	0.231726059	0.203640321	0.181571231	0.164755813	0.152492765	0.144000872	0.137122103	0.13166878	0.12760335	0.124904386	0.123558071
14	3D	1	0.826291711	0.697250204	0.589245566	0.498981548	0.423732081	0.361264768	0.309654302	0.267011087	0.232357234	0.204665128	0.18295241	0.166153506	0.153465946	0.144364531	0.138074947	0.13293162	0.129052687	0.126466624	0.125174798
15	3D	1	0.826830218	0.698101669	0.590542145	0.500466094	0.424737974	0.361837992	0.309779142	0.267071868	0.232437131	0.204828486	0.18374812	0.166384337	0.154671234	0.145469717	0.138753568	0.133601231	0.129821693	0.127328792	0.12608815
16	3D	1	0.826348048	0.697692593	0.590348367	0.499783585	0.424322359	0.361636146	0.309818618	0.26715399	0.232343722	0.204431174	0.182569257	0.166020077	0.154500945	0.145273152	0.138630162	0.133659488	0.130060868	0.127693631	0.126515319
17	3D	1	0.826848584	0.698516203	0.590648769	0.500829036	0.425074247	0.362512332	0.310360365	0.267630864	0.233136115	0.204831229	0.182763079	0.16607044	0.154485173	0.144814082	0.138941067	0.134039796	0.130412707	0.128017075	0.126825397
18	3D	1	0.826616451	0.697903631	0.59012362	0.49993128	0.424728303	0.36241974	0.312007483	0.267954712	0.233254322	0.205402621	0.183444978	0.167075806	0.154014794	0.145592835	0.139145254	0.134188454	0.130543542	0.128139102	0.126943187
19	3D	1	0.826388803	0.697625832	0.589916133	0.499859514	0.42465093	0.362162439	0.310470042	0.267610879	0.232793083	0.205007513	0.183862875	0.16611763	0.153504525	0.144476126	0.138909055	0.134139222	0.1305666	0.128192596	0.127008338
20	3D	1	0.826571156	0.698042951	0.590593792	0.500306379	0.425108522	0.362605419	0.31051727	0.267704159	0.232814102	0.204732659	0.182685222	0.165916662	0.153336035	0.145168546	0.13904482	0.134234795	0.130647113	0.128263975	0.127075115
21	3D	1	0.827526267	0.698195461	0.590262087	0.500219806	0.425034942	0.362591968	0.310608126	0.267824387	0.232872005	0.204628573	0.182532416	0.165873606	0.154073132	0.144579923	0.138966093	0.134180804	0.130602785	0.128227047	0.127042404
22	3D	1	0.826765321	0.698204906	0.590248505	0.499717283	0.424227372	0.361545006	0.309725449	0.267125738	0.232419296	0.204188217	0.182035687	0.165067759	0.152669083	0.143898003	0.138361392	0.13366213	0.130168344	0.127857486	0.126707418
23	3D	1	0.826865463	0.698471618	0.590749556	0.500659599	0.424822718	0.361805858	0.309700436	0.266857986	0.231930756	0.203833997	0.18169013	0.164560616	0.151872067	0.142912309	0.136725031	0.132886681	0.129594268	0.127370496	0.126255084
24	3D	1	0.826526441	0.697790166	0.589950288	0.499705967	0.424374483	0.361616318	0.309591158	0.26678341	0.231932439	0.203976608	0.181790981	0.164652892	0.151893945	0.143503398	0.137394295	0.132808364	0.12936238	0.127066686	0.125920358
