Rep	Prob	FixTime	Age	Height	rLambda
1	0.0	na	28.830082	12.3	0.20533337
2	0.0	na	24.182343	12.12	0.19367348
3	0.0	na	11.613132	11.27	0.16285715
4	0.0	na	28.345528	12.3	0.21000001
5	0.0	na	26.6653	12.19	0.18230769
6	0.0	na	25.011465	12.21	0.18892857
7	0.0	na	16.411074	11.92	0.17523809
8	0.0	na	29.253521	12.07	0.19516483
9	0.0	na	30.012913	12.39	0.20436737
10	0.0	na	26.03038	11.85	0.20285714
11	0.0	na	26.737919	12.21	0.2179365
12	0.0	1930.0	370.75	0.04	0.18028048
13	0.0	na	19.03188	11.92	0.1467857
14	0.0	na	28.340948	11.82	0.20180954
15	0.0	na	564.0	0.01	0.17993602
16	0.0	na	429.0	0.01	0.16373968
17	0.0	na	12.230973	11.3	0.14285713
18	0.0	na	20.15798	12.28	0.18571429
19	0.0	na	9.537963	10.8	0.13142857
20	0.0	na	8.729927	10.96	0.14571428
21	0.0	na	12.640652	11.66	0.17071429
22	0.0	2386.0	625.0	0.01	0.18012142
23	0.0	na	26.75865	12.14	0.20342858
24	0.0	na	22.294916	11.8	0.192
25	0.0	na	27.127888	12.12	0.19749999
26	0.0	na	26.610378	12.14	0.19936508
27	0.0	na	22.955894	11.79	0.17571428
28	0.0	na	27.194305	11.94	0.21920635
29	0.0	na	4.704053	10.61	NaN
30	0.0	na	4.655753	10.69	NaN
31	0.0	na	29.116165	12.31	0.19780952
32	0.0	na	24.019852	12.09	0.16904761
33	0.0	na	25.935192	12.19	0.19755101
34	0.0	na	25.882696	12.02	0.19571427
35	0.0	na	21.447039	11.99	0.17428571
36	0.0	na	19.082987	12.05	0.19214287
37	0.0	2198.0	478.0	0.03	0.18161507
38	0.0	na	5.5491114	10.69	NaN
39	0.0	na	18.809061	12.36	0.17
40	0.0	na	20.137987	12.32	0.19
41	0.0	na	27.384615	12.22	0.21457143
42	0.0	na	9.592662	10.63	0.13000001
43	0.0	na	10.261905	10.92	0.13000001
44	0.0	2562.0	337.55554	0.09	0.18929362
45	0.0	1955.0	444.42856	0.07	0.18391185
46	0.0	na	23.26432	12.22	0.18171428
47	0.0	na	22.699495	11.88	0.16028571
48	0.0	na	353.5	0.02	0.17390995
49	0.0	na	26.910204	12.25	0.17464286
50	0.0	na	22.749174	12.12	0.17085715
51	0.0	na	6.3117485	10.81	0.105714284
52	0.0	2639.0	440.2	0.05	0.18933305
53	0.0	na	8.0	10.66	0.108571425
54	0.0	na	18.29703	12.12	0.18619047
55	0.0	na	19.575882	12.19	0.20285714
56	0.0	na	18.538967	12.19	0.1675
57	0.0	2505.0	422.0	0.04	0.1866042
58	0.0	na	26.050447	12.29	0.18678571
59	0.0	na	20.553423	11.98	0.19357143
60	0.0	na	24.545153	12.07	0.1989796
61	0.0	na	26.056007	12.32	0.19839285
62	0.0	na	24.229454	12.29	0.21183673
63	0.0	na	21.540382	12.01	0.20171428
64	0.0	na	27.5655	12.29	0.19842856
65	0.0	1981.0	807.0	0.01	0.1640484
66	0.0	na	2.911153	10.58	NaN
67	0.0	na	28.263763	12.17	0.20476191
68	0.0	na	17.103128	11.83	0.16714285
69	0.0	na	20.94288	12.43	0.18214285
70	0.0	na	2.923792	10.76	NaN
71	0.0	na	24.21637	12.34	0.1790476
72	0.0	na	18.28454	12.16	0.17
73	0.0	na	27.58132	12.42	0.19190474
74	0.0	1781.0	462.25	0.04	0.1794769
75	0.0	na	18.72622	12.09	0.17464286
76	0.0	na	7.980909	11.0	0.13142857
77	0.0	na	14.269006	11.97	0.1792857
78	0.0	na	12.8579	11.33	0.13428572
79	0.0	na	19.732616	12.08	0.18035713
80	0.0	na	20.421095	12.42	0.18892857
81	0.0	na	28.299265	12.23	0.18077922
82	0.0	na	28.333607	12.17	0.19584416
83	0.0	na	2.9226468	10.73	NaN
84	0.0	na	25.196285	12.38	0.19178572
85	0.0	na	5.5033364	10.49	NaN
86	0.0	na	13.057709	11.61	0.18285714
87	0.0	na	20.934765	12.11	0.17964286
88	0.0	na	27.64979	11.85	0.20777778
89	0.0	na	25.098087	12.03	0.18204083
90	0.0	na	3.864423	10.4	NaN
91	0.0	na	27.95392	12.37	0.21357143
92	0.0	na	22.543657	12.14	0.20761906
93	0.0	na	21.433977	12.42	0.18371427
94	0.0	na	25.522825	11.61	0.22285713
95	0.0	na	23.88039	12.29	0.1754762
96	0.0	na	26.918556	11.91	0.19885716
97	0.0	na	29.711681	12.07	0.19800001
98	0.0	na	25.059248	12.49	0.19979592
99	0.0	na	18.364079	12.36	0.18321428
100	0.0	na	25.622765	12.3	0.18612245
101	0.0	na	28.485554	12.46	0.20234695
102	0.0	na	13.916667	12.0	0.16
103	0.0	2159.0	90.0	0.01	0.16369197
104	0.0	3159.0	507.0	0.01	0.18452962
105	0.0	na	27.27691	12.17	0.1935065
